0	10.885213	106.651882	
1	10.8350974	106.676318	1
2	10.861292	106.675872	1
3	10.866797	106.6261831	1
4	10.8614614	106.6629516	1
5	10.8385431	106.6297173	1
6	10.8445104	106.6617267	1
7	10.868123	106.719383	1
8	10.8626	106.719724	1
9	10.8596632	106.7125228	1
10	10.785512	106.646508	1
11	10.8564464	106.639614	1
12	10.8525385	106.6262491	1
13	10.867145	106.641411	1
14	10.8230989	106.6296638	1
15	10.8603672	106.6438673	2
16	10.8797522	106.6434556	1
17	10.9703995	106.6157029	2
18	10.9054952	106.638709	2
19	10.8781188	106.6390588	2
20	10.865416	106.683303	2
21	10.8418818	106.6764805	1
22	10.8578469	106.6272519	1
23	10.8712302	106.6859815	1
24	10.84602	106.6376023	1
25	10.9045959	106.6523327	4
26	10.882885	106.6536132	7
27	10.8626951	106.6549566	10
28	10.8677812	106.6545303	5
29	10.864377	106.614616	9
30	10.8399183	106.6476881	3
31	10.8571431	106.6157633	13
32	10.8478265	106.612224	14
33	10.8726779	106.6515337	21
34	10.8886863	106.6472965	22
35	10.865059	106.649772	4
36	10.9083203	106.6449903	5
37	10.8811456	106.6371629	4
38	10.8823652	106.6672897	2
39	10.8788698	106.6514049	125
40	10.8760697	106.6556575	78
41	10.9076858	106.687755	1
